 Brand, Manufacturer, Series, Colour, Form Factor, Item Height, Item Width, Standing screen display size, Screen Resolution, Resolution, Product Dimensions, Batteries, Item model number, Processor Brand, Processor Type, Processor Speed, Processor Count, RAM Size, Memory Technology, Computer Memory Type, Maximum Memory Supported, Hard Disk Description, Hard Drive Interface, Audio Details, Speaker Description, Graphics Coprocessor, Graphics Chipset Brand, Graphics Card Description, Graphics RAM Type, Graphics Card Interface, Connectivity Type, Wireless Type, Number of USB 3.0 Ports, Number of HDMI Ports, Operating System, Are Batteries Included, Lithium Battery Energy Content, Number Of Lithium Ion Cells, Included Components, Country of Origin, Item Weight, Graphics Card Ram Size, Number of USB 2.0 Ports, Optical Drive Type, Power Source, Average Battery Standby Life (in hours), Average Battery Life (in hours), Memory Clock Speed, Hard Drive Size, Voltage, Wattage, Hardware Platform, Number of Audio-out Ports, Number of Ethernet Ports, Lithium Battery Weight, Model, Model Name, Model Year, Flash Memory Installed Size, Ram Memory Installed Size, Ram Memory Technology, Processor Model Number, Hardware Interface, Special Features, Mounting Hardware, Number Of Items, Software Included, Display Technology, Display Type, Aspect Ratio, Microphone Technology, Battery Average Life, Batteries Included, Batteries Required, Battery Cell Composition, Refresh Rate, Total Usb Ports, Keyboard Description, Connector Type,  Device interface - primary, Device Type, Memory Storage Capacity, Memory Slots Available, Supported Software, Battery Charge Cycles, Number of Microphone Ports, Hard Disk Rotational Speed, Number of Lithium Metal Cells, Imported By
HP ,hp ,14-dv1001TU ,Natural Silver ,Netbook ,17 Millimeters ,21.6 Centimeters ,35.6 Centimetres ,1920 x 1080 pixels ,1920 x 1080 Pixels ,32.5 x 21.6 x 1.7 cm; 1.41 Kilograms ,1 Lithium ion batteries required. (included) ,14-dv1001TU ,Intel ,Core i5 ,4.5 GHz ,1 ,16 GB ,DDR4 ,DDR4 SDRAM ,16 GB ,SSD ,Solid State ,Speakers ,"Audio by B&O, Dual speakers ",Intel Iris Xe Graphics ,Intel ,Integrated ,VRAM ,Integrated ,"Bluetooth, Wi-Fi ","Bluetooth, 802.11a/b/g/n/ac ",2 ,1 ,Windows 11 Home ,Yes ,43 Watt Hours ,3 ,"Laptop, Power Adapter ",China ,1 kg 410 g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ,Hp india private limited ,HP Laptop 15s-eq2144AU ,Natural Silver ,Laptop ,18 Millimeters ,24.2 Centimeters ,14 Inches ,,1920 x 1080 ,35.9 x 24.2 x 1.8 cm; 1.69 Kilograms ,1 Lithium ion batteries required. (included) ,eq2144AU ,AMD ,AMD Ryzen 5 5500U ,2.5 GHz ,1 ,8 GB ,LPDDR4 ,,16 GB ,Ssd ,USB ,Headphones ,Dual Speakers ,,AMD ,Integrated ,DDR5 SDRAM ,Integrated ,Bluetooth ,"Bluetooth, 802.11bgn ",1 ,1 ,Windows ,Yes ,41 Watt Hours ,3 ,"Laptop, User Manual, Adapter ",China ,1 kg 690 g ,8 GB ,1 ,DVD-RW ,Battery Powered ,9 Hours ,9 Hours ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS ,Asus ,VivoBook 15 (2021) ,Transparent Silver ,Thin and Light ,20 Millimeters ,36 Centimeters ,39.62 Centimetres ,,1366 x 768 Pixels ,23.5 x 36 x 2 cm; 1.8 Kilograms ,1 Lithium Polymer batteries required. (included) ,X515MA-BR011W ,Intel ,Celeron N4020 ,2.8 GHz ,2 ,4 GB ,DDR4 ,SODIMM ,8 GB ,SSD ,USB 3.2 ,"Headphones, Speakers ","SonicMaster, Built-in speaker ",Intel UHD Graphics 600 ,Intel ,Integrated ,Shared ,Integrated ,"Bluetooth, Wi-Fi ","Bluetooth, 802.11ac ",2 ,1 ,Windows 11 Home ,Yes ,,2 ,"Laptop, AC Adapter, User Guide, Manuals ",China ,1 kg 800 g ,4 GB ,2 ,No Optical Drive ,Battery Powered ,6 Hours ,6 Hours ,2400 MHz ,256 GB ,19 Volts (DC) ,33 Watts ,PC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ,hp ,HP ProBook-cr ,,,1 Inches ,10 Inches ,13.3 Inches ,,HD (1366 x 768) Pixels ,35.56 x 25.4 x 2.54 cm; 1.5 Kilograms ,1 Lithium ion batteries required. (included) ,HP ProBook 430G3 ,Intel ,Intel Core i5 ,2.3 GHz ,1 ,16 GB ,DDR4 ,DDR4 SDRAM ,16 GB ,SSD ,Solid State ,,Integrated high quality speakers ,Intel HD Graphics 520 ,Intel ,Integrated ,DDR3 SDRAM ,Integrated ,,,2 ,1 ,Windows 11 ,Yes ,55 Watt Hours ,4 ,"Laptop,Battery,Power Cord ",India ,1 kg 500 g ,,1 ,No Optical Drive ,,,2 Hours ,,512 GB ,,,Windows ,1 ,1 ,50 Grams ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ,hp ,Chromebook ,Mineral Silver ,Standard laptop ,18 Millimeters ,32.6 Centimeters ,14 Inches ,,1366 x 768 (HD Ready) ,21.9 x 32.6 x 1.8 cm; 1.46 Kilograms ,1 Lithium ion batteries required. (included) ,14a-na0003TU ,Intel ,Celeron ,1.1 GHz ,2 ,4 GB ,DDR4 ,,4 GB ,Solid State Drive ,,Speakers ,Bang & Olufsen speakers ,Intel UHD Graphics 600 ,Intel ,Integrated ,WRAM ,Integrated ,"Bluetooth, Wi-Fi ",,3 ,,Chrome OS ,Yes ,47 Watt Hours ,2 ,"Chromebook, Battery, AC Adapter, User Guide, Manuals ",China ,1 kg 460 g ,4 GB ,,No Optical Drive ,Battery Powered ,12 Hours ,12 Hours ,2400 MHz ,64 GB ,,,,1 ,,0.85 Grams ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS ,Asus ,,,Ultrabook ,,,14 Inches ,1920 x 1080 pixels ,1920 x 1080 Pixels ,20.8 x 31.9 x 1.4 cm; 1.17 Kilograms ,1 Lithium Polymer batteries required. (included) ,90NB0SM1-M04830 ,Intel ,Core i5 ,2.4 GHz ,4 ,8 GB ,,SDRAM ,8 GB ,Solid State Drive ,Solid State ,Speakers ,,Intel Iris Xe Graphics ,,Integrated ,Shared ,Integrated ,,"Bluetooth, 802.11ax ",,,Windows 10 Home ,,,,,,1 kg 170 g ,,,No Optical Drive ,Battery Powered ,,,,512 GB ,19 Volts (DC) ,65 Watts ,PC ,,,,90NB0SM1-M04830 ,ZenBook 14 (2020) ,2020 ,512 ,8 GB ,LPDDR4 ,Core i5-1135G7 ,"MicroSD, USB, USB Type C, HDMI, Thunderbolt ",Anti reflective ,"Laptop, Adapter, Sleeve, USB-C to audio jack adapter, User Manual ",1 ,Office Home and Student 2019 included ,LED ,LED ,16:9 ,Built-in array microphone ,22 Hours ,Yes ,Yes ,Lithium Polymer ,60 Hz ,5 ,Backlit Chiclet Keyboard ,"Bluetooth, Wi-Fi, HDMI ","Keyboard, Numeric Keypad ",Ultrabook ,,,,,,,,
HP ,hp ,,,Laptop ,,,14 Inches ,,1366x768 ,35.9 x 24.2 x 2 cm; 1.5 Kilograms ,1 Lithium Polymer batteries required. (included) ,172V2PA ,Intel ,Core i5 ,1.6 GHz ,1 ,8 ,,DDR4 SDRAM ,16 GB ,Flash Memory Solid State ,USB 2.0 ,Headphones ,,,,Integrated ,VRAM ,Integrated ,,,,,Windows 10 Home ,,,,,China ,1 kg 500 g ,,,No Optical Drive ,Battery Powered ,,,,512 GB ,,,PC ,,,,172V2PA ,14-ck2018tu ,2020 ,,8 GB ,DDR4 ,I5-10210U ,"USB, HDMI, USB 2.0 ",Dvd ,"Laptop, Power Adapter ",1 ,"Microsoft Office 365, Webcam ",,LED ,,,10.45 Hours ,Yes ,Yes ,Lithium Ion ,,,Chiclet ,"Bluetooth, Wi-Fi ",Microphone ,Ultrabook ,512 GB ,2 ,,,,,,
HP ,hp ,ENVY x360 ,Night Fall Black ,"Laptop, Convertible ",16 Millimeters ,30.7 Centimeters ,13.3 Inches ,,1920 x 1080 (Full HD) ,19.5 x 30.7 x 1.6 cm; 1.3 Kilograms ,1 Lithium ion batteries required. (included) ,13-ay0078AU ,AMD ,R Series ,2.3 GHz ,8 ,8 GB ,DDR4 ,,,Flash Memory Solid State ,,,Bang & Olufsen speakers ,AMD Radeon Vega ,AMD ,Integrated ,,,"Bluetooth, Wi-Fi ",,2 ,,Windows 10 Pro ,Yes ,51 Watt Hours ,3 ,"Laptop, Battery, AC Adapter, User Guide, Manuals ",USA ,1 kg 300 g ,,,,Battery Powered ,,14 Hours ,,512 GB ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with Pre-installed Microsoft Office Home & Student 2019 ,14 Hours ,,,,
MI ,Wistron InfoComm (Chengdu) Co. Ltd. ,Mi Notebook Horizon Edition 14 ,Grey ,Laptop ,17.2 Centimeters ,20.7 Centimeters ,35.56 Centimetres ,,1920x1080 ,32.1 x 20.7 x 17.2 cm; 1.35 Kilograms ,1 Lithium Polymer batteries required. (included) ,XMA1904-AR ,Intel ,Core i5 ,1.6 GHz ,4 ,8 GB ,DDR4 ,,,Flash Memory Solid State ,,"Headphones, Speakers ",Dual Speakers with DTS Audio ,NVIDIA GeForce MX350 ,NVIDIA ,,,,"Bluetooth, Wi-Fi ",802.11ac ,2 ,1 ,Windows 10 Home ,Yes ,46 Watt Hours ,4 ,"Notebook, Power Adaptor, Power Cord, User Manual ",China ,1 kg 350 g ,2 GB ,1 ,,Battery Powered ,10 Hours ,10 Hours ,2666 MHz ,512 GB ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office 360 1 Month Trial ,,1 ,,,
Dell ,Dell India Pvt Ltd ,Inspiron 3511 ,Carbon Black ,Laptop ,19 Millimeters ,35.8 Centimeters ,15.6 Inches ,,,23.5 x 35.8 x 1.9 cm; 1.8 Kilograms ,1 Lithium ion batteries required. (included) ,,Intel ,Core i3 ,1.7 GHz ,1 ,8 GB ,DDR4 ,DDR4 SDRAM ,16 GB ,HDD ,USB 3.2 ,,,,Intel ,Integrated ,DDR5 SDRAM ,Integrated ,,,2 ,,Windows ,Yes ,2.6 Watt Hours ,3 ,"Laptop, Battery, AC Adapter, User Guide, Manuals ",China ,1 kg 800 g ,,1 ,CD-R ,,,,,1 TB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
